afr_Latn	af
als_Latn	sq
amh_Ethi	am
arb_Arab	ar
ast_Latn	ast
azj_Latn	az
bak_Cyrl	ba
bel_Cyrl	be
ben_Beng	bn
bos_Latn	bs
bul_Cyrl	bg
cat_Latn	ca
ceb_Latn	ceb
ces_Latn	cs
cym_Latn	cy
dan_Latn	da
deu_Latn	de
ell_Grek	el
eng_Latn	en
est_Latn	et
fin_Latn	fi
fra_Latn	fr
fuv_Latn	ff
gla_Latn	gd
gle_Latn	ga
glg_Latn	gl
guj_Gujr	gu
hat_Latn	ht
hau_Latn	ha
heb_Hebr	he
hin_Deva	hi
hrv_Latn	hr
hun_Latn	hu
hye_Armn	hy
ibo_Latn	ig
ilo_Latn	ilo
ind_Latn	id
isl_Latn	is
ita_Latn	it
jav_Latn	jv
jpn_Jpan	ja
kan_Knda	kn
kat_Geor	ka
kaz_Cyrl	kk
khk_Cyrl	mn
khm_Khmr	km
kor_Hang	ko
lao_Laoo	lo
lin_Latn	ln
lit_Latn	lt
ltz_Latn	lb
lug_Latn	lg
lvs_Latn	lv
mal_Mlym	ml
mar_Deva	mr
mkd_Cyrl	mk
mlt_Latn	mt
mya_Mymr	my
nld_Latn	nl
nob_Latn	nb
npi_Deva	ne
nso_Latn	ns
oci_Latn	oc
ory_Orya	or
pan_Guru	pa
pbt_Arab	ps
pes_Arab	fa
plt_Latn	mg
pol_Latn	pl
por_Latn	pt
ron_Latn	ro
rus_Cyrl	ru
sin_Sinh	si
slk_Latn	sk
slv_Latn	sl
snd_Arab	sd
som_Latn	so
spa_Latn	es
srp_Cyrl	sr
ssw_Latn	ss
sun_Latn	su
swe_Latn	sv
swh_Latn	sw
tam_Taml	ta
tgl_Latn	tl
tha_Thai	th
tsn_Latn	tn
tur_Latn	tr
ukr_Cyrl	uk
urd_Arab	ur
uzn_Latn	uz
vie_Latn	vi
wol_Latn	wo
xho_Latn	xh
ydd_Hebr	yi
yor_Latn	yo
zho_Hans	zh
zsm_Latn	ms
zul_Latn	zu
